baseline_peak_rss_mib,baseline_rss_mib,input_events,k,peak_rss_delta_mib,peak_rss_mib,resident_items,resident_trace_events,retained_rss_delta_mib,retained_rss_mib,system,system_label,wall_time_s,repeat
24.69921875,23.91796875,327680,1,632.1640625,656.86328125,1,327680,437.4609375,461.37890625,maya_full,Maya-full,5.555216524749994,1
24.69921875,23.98046875,2621440,8,3002.55078125,3027.25,8,2621440,2807.53515625,2831.515625,maya_full,Maya-full,49.52591940574348,1
24.69921875,23.87890625,10485760,32,10987.20703125,11011.90625,32,10485760,10793.9453125,10817.82421875,maya_full,Maya-full,205.4939986448735,1
24.69921875,23.8828125,327680,1,272.7578125,297.45703125,1,40960,49.34765625,73.23046875,maya_trace_ras,Maya-trace-RAS,1.7289870213717222,1
24.69921875,23.8984375,2621440,8,477.6015625,502.30078125,8,327680,337.55078125,361.44921875,maya_trace_ras,Maya-trace-RAS,14.101173859089613,1
24.69921875,23.91015625,10485760,32,1169.37109375,1194.0703125,32,1310720,1066.453125,1090.36328125,maya_trace_ras,Maya-trace-RAS,65.57563723251224,1
24.69921875,23.87890625,24576,1,272.73828125,297.4375,2,24576,80.3828125,104.26171875,flexeva,FlexEva,2.117305751889944,1
24.69921875,23.85546875,196608,8,272.71875,297.41796875,9,196608,216.96484375,240.8203125,flexeva,FlexEva,5.407062832266092,1
24.69921875,23.93359375,786432,32,689.4921875,714.19140625,33,786432,661.89453125,685.828125,flexeva,FlexEva,18.073678642511368,1
24.69921875,23.88671875,327680,1,632.12890625,656.828125,1,327680,437.453125,461.33984375,maya_full,Maya-full,5.62728207372129,2
24.69921875,23.88671875,2621440,8,3002.4453125,3027.14453125,8,2621440,2808.40234375,2832.2890625,maya_full,Maya-full,48.928545812144876,2
24.69921875,23.97265625,10485760,32,10987.0078125,11011.70703125,32,10485760,10792.81640625,10816.7890625,maya_full,Maya-full,205.97318188659847,2
24.69921875,23.90625,327680,1,272.78515625,297.484375,1,40960,49.3515625,73.2578125,maya_trace_ras,Maya-trace-RAS,1.7211722284555435,2
24.72265625,23.9765625,2621440,8,475.9140625,500.63671875,8,327680,330.36328125,354.33984375,maya_trace_ras,Maya-trace-RAS,14.235739765688777,2
24.69921875,23.82421875,10485760,32,1169.28515625,1193.984375,32,1310720,1066.453125,1090.27734375,maya_trace_ras,Maya-trace-RAS,66.08935192041099,2
24.69921875,23.93359375,24576,1,272.796875,297.49609375,2,24576,80.4609375,104.39453125,flexeva,FlexEva,2.1450224835425615,2
24.69921875,23.8828125,196608,8,272.74609375,297.4453125,9,196608,217.94921875,241.83203125,flexeva,FlexEva,5.379040000960231,2
24.69921875,23.9765625,786432,32,689.53125,714.23046875,33,786432,661.890625,685.8671875,flexeva,FlexEva,18.25240101851523,2
24.69921875,23.8828125,327680,1,632.140625,656.83984375,1,327680,437.1953125,461.078125,maya_full,Maya-full,5.566656930372119,3
24.69921875,23.8359375,2621440,8,3002.44140625,3027.140625,8,2621440,2807.49609375,2831.33203125,maya_full,Maya-full,48.8208981808275,3
24.69921875,23.9296875,10485760,32,10987.1640625,11011.86328125,32,10485760,10793.83203125,10817.76171875,maya_full,Maya-full,219.25969505682588,3
24.69921875,23.8828125,327680,1,272.7578125,297.45703125,1,40960,50.328125,74.2109375,maya_trace_ras,Maya-trace-RAS,1.7326837237924337,3
24.69921875,23.83203125,2621440,8,475.74609375,500.4453125,8,327680,331.34765625,355.1796875,maya_trace_ras,Maya-trace-RAS,14.209339119493961,3
24.7265625,23.98046875,10485760,32,1169.4140625,1194.140625,32,1310720,1066.453125,1090.43359375,maya_trace_ras,Maya-trace-RAS,65.61147815734148,3
24.69921875,23.92578125,24576,1,272.78515625,297.484375,2,24576,79.4765625,103.40234375,flexeva,FlexEva,2.129294577986002,3
24.69921875,23.8828125,196608,8,272.74609375,297.4453125,9,196608,217.953125,241.8359375,flexeva,FlexEva,5.382803218439221,3
24.69921875,23.92578125,786432,32,689.62109375,714.3203125,33,786432,658.9375,682.86328125,flexeva,FlexEva,18.254093190655112,3
