baseline_peak_rss_mib,baseline_rss_mib,input_events,k,peak_rss_delta_mib,peak_rss_mib,resident_items,resident_trace_events,retained_rss_delta_mib,retained_rss_mib,system,system_label,wall_time_s,repeat
24.7421875,23.88671875,327680,1,632.09375,656.8359375,1,327680,437.453125,461.33984375,maya_full,Maya-full,5.708394639194012,1
24.7421875,23.9453125,2621440,8,3002.421875,3027.1640625,8,2621440,2807.42578125,2831.37109375,maya_full,Maya-full,49.824099119752645,1
24.7421875,24.0234375,10485760,32,10987.1484375,11011.890625,32,10485760,10793.6328125,10817.65625,maya_full,Maya-full,209.56971807964146,1
24.7421875,23.90625,327680,1,272.734375,297.4765625,1,40960,50.328125,74.234375,maya_trace_ras,Maya-trace-RAS,1.8318381924182177,1
24.7421875,23.83984375,2621440,8,475.6796875,500.421875,8,327680,331.06640625,354.90625,maya_trace_ras,Maya-trace-RAS,15.035530216991901,1
24.7421875,23.89453125,10485760,32,1169.9921875,1194.734375,32,1310720,1070.23046875,1094.125,maya_trace_ras,Maya-trace-RAS,69.67506787367165,1
24.7421875,23.8828125,24576,1,272.70703125,297.44921875,2,24576,80.453125,104.3359375,flexeva,FlexEva,2.2633252572268248,1
24.7421875,23.90625,196608,8,272.7265625,297.46875,9,196608,217.85546875,241.76171875,flexeva,FlexEva,5.590621022507548,1
24.7421875,23.9453125,786432,32,687.6875,712.4296875,33,786432,661.26953125,685.21484375,flexeva,FlexEva,18.54019520431757,1
24.7421875,23.97265625,327680,1,632.18359375,656.92578125,1,327680,437.45703125,461.4296875,maya_full,Maya-full,5.627315867692232,2
24.7421875,23.93359375,2621440,8,3002.4453125,3027.1875,8,2621440,2807.5234375,2831.45703125,maya_full,Maya-full,50.03231032565236,2
24.7421875,23.98828125,10485760,32,10987.1015625,11011.84375,32,10485760,10792.74609375,10816.734375,maya_full,Maya-full,213.36486876942217,2
24.7421875,23.90234375,327680,1,272.7265625,297.46875,1,40960,50.328125,74.23046875,maya_trace_ras,Maya-trace-RAS,1.8078608978539705,2
24.7421875,23.91015625,2621440,8,477.28515625,502.02734375,8,327680,337.2734375,361.18359375,maya_trace_ras,Maya-trace-RAS,14.989834202453494,2
24.7421875,23.9296875,10485760,32,1170.02734375,1194.76953125,32,1310720,1070.23046875,1094.16015625,maya_trace_ras,Maya-trace-RAS,69.9955173023045,2
24.7421875,23.89453125,24576,1,272.71484375,297.45703125,2,24576,80.37109375,104.265625,flexeva,FlexEva,2.2432626001536846,2
24.7421875,23.97265625,196608,8,272.796875,297.5390625,9,196608,215.88671875,239.859375,flexeva,FlexEva,5.5494120847433805,2
24.7421875,23.85546875,786432,32,687.6015625,712.34375,33,786432,661.2734375,685.12890625,flexeva,FlexEva,18.710897052660584,2
24.7421875,23.9765625,327680,1,632.18359375,656.92578125,1,327680,437.453125,461.4296875,maya_full,Maya-full,5.703562872484326,3
24.7421875,23.890625,2621440,8,3002.3828125,3027.125,8,2621440,2808.47265625,2832.36328125,maya_full,Maya-full,49.755915028974414,3
24.7421875,23.88671875,10485760,32,10987.05859375,11011.80078125,32,10485760,10793.83984375,10817.7265625,maya_full,Maya-full,209.70068503543735,3
24.7421875,23.859375,327680,1,272.6875,297.4296875,1,40960,49.34375,73.203125,maya_trace_ras,Maya-trace-RAS,1.8100809920579195,3
24.7421875,23.8828125,2621440,8,477.2578125,502.0,8,327680,337.2734375,361.15625,maya_trace_ras,Maya-trace-RAS,15.016389425843954,3
24.7421875,23.98046875,10485760,32,1170.078125,1194.8203125,32,1310720,1070.23046875,1094.2109375,maya_trace_ras,Maya-trace-RAS,69.61945867352188,3
24.7421875,23.98828125,24576,1,272.80859375,297.55078125,2,24576,80.453125,104.44140625,flexeva,FlexEva,2.2735848128795624,3
24.7421875,23.99609375,196608,8,272.81640625,297.55859375,9,196608,213.91796875,237.9140625,flexeva,FlexEva,5.544664541259408,3
24.7421875,23.93359375,786432,32,687.68359375,712.42578125,33,786432,661.27734375,685.2109375,flexeva,FlexEva,18.693491756916046,3
