round,candidate_id,route_experts,maya_full_s_median,flexeva_refresh_s_median,speedup_median,speedup_min,speedup_max,feedback_relative_error_max
1,candidate_00_route_0_2,0-2,5.381639927625656,0.41214643605053425,13.05759180934856,12.996481294364619,13.246735195914887,0.0
2,candidate_01_route_0_3,0-3,5.442065794020891,0.4106062650680542,13.117723773485483,12.416649252666446,14.252084482680269,0.0
3,candidate_02_route_0_4,0-4,5.318446055054665,0.4178258627653122,12.729611335579998,12.727091814501371,12.837772508621827,0.0
4,candidate_03_route_0_5,0-5,5.370232852175832,0.40299258939921856,13.312982636467762,12.829055691572995,13.336979741451714,0.0
5,candidate_04_route_0_6,0-6,5.342100901529193,0.4128546118736267,12.939366553834184,12.700556599615041,13.056535492014712,0.0
6,candidate_05_route_0_7,0-7,5.376096000894904,0.4054449927061796,13.20593088976049,12.8315518241517,13.315172213544898,0.0
7,candidate_06_route_1_0,1-0,5.411808026954532,0.4121043384075165,13.13213068289267,13.017516577736426,13.148839620475693,0.0
8,candidate_07_route_1_2,1-2,5.382732763886452,0.41326769813895226,13.25933353642834,13.02480883003013,13.720547289437455,0.0
9,candidate_08_route_1_3,1-3,5.3948694206774235,0.4125555790960789,13.076709403609902,12.99868949934244,13.39131331686412,0.0
10,candidate_09_route_1_4,1-4,5.37386135943234,0.4042403344064951,13.262276172145924,13.088517865121256,13.367895072654326,0.0
11,candidate_10_route_1_5,1-5,5.396270599216223,0.4164946135133505,12.956399492650938,12.452986394290955,13.005848720632365,0.0
12,candidate_11_route_1_6,1-6,5.400151167064905,0.40952860191464424,13.097173946544427,13.056315582175378,13.276250080831677,0.0
13,candidate_12_route_1_7,1-7,5.384047843515873,0.4123337510973215,13.123518382665019,12.992586508207626,13.173855584980739,0.0
14,candidate_13_route_2_0,2-0,5.387626804411411,0.40899982303380966,13.17268737293817,12.825600570564026,13.304005445520742,0.0
15,candidate_14_route_2_1,2-1,5.353899547830224,0.4123642332851887,13.074142606851275,12.87748547994153,13.247709619055652,0.0
16,candidate_15_route_2_3,2-3,5.377342374995351,0.40923476591706276,13.092814312752713,13.043395071133208,13.324980734678142,0.0
17,candidate_16_route_2_4,2-4,5.332046367228031,0.41014397889375687,13.06976887463009,12.92164571214714,13.169971882841764,0.0
18,candidate_17_route_2_5,2-5,5.376323321834207,0.40620834566652775,13.235383711805468,13.032788673960138,13.364465292260892,0.0
19,candidate_18_route_2_6,2-6,5.376224260777235,0.41207660362124443,12.990882781293852,12.900899499366124,13.143375050646474,0.0
20,candidate_19_route_2_7,2-7,5.3738975543528795,0.4109019562602043,13.054923499361829,12.986657607550095,13.113958943525393,0.0
21,candidate_20_route_3_0,3-0,5.347280111163855,0.41128889471292496,13.018678840890232,12.944550635539938,13.083278767245968,0.0
22,candidate_21_route_3_1,3-1,5.360112238675356,0.4111360050737858,13.080044851974177,12.949597803042359,13.360596703740613,0.0
23,candidate_22_route_3_2,3-2,5.376799676567316,0.41517793387174606,12.999539365625074,12.909475445177073,13.351082066470909,0.0
24,candidate_23_route_3_4,3-4,5.378265144303441,0.4080850463360548,13.174896947227872,13.071654196076825,13.256482335070865,0.0
25,candidate_24_route_3_5,3-5,5.398062756285071,0.41267986968159676,13.080509016468257,13.075039587920442,13.09585351007449,0.0
26,candidate_25_route_3_6,3-6,5.369751734659076,0.40972091630101204,13.105876515013085,12.96644367464458,13.274001899123173,0.0
27,candidate_26_route_3_7,3-7,5.397296326234937,0.4123556390404701,13.179183832264258,12.910591099920923,13.1979896545269,0.0
28,candidate_27_route_4_0,4-0,5.355640679597855,0.4073054287582636,13.206238471422362,12.63712500040215,13.226310143606655,0.0
29,candidate_28_route_4_1,4-1,5.36447043158114,0.41351862251758575,12.972742071254613,12.92828947934992,13.304624580106404,0.0
30,candidate_29_route_4_2,4-2,5.356180464848876,0.40513885021209717,13.217427552212692,12.953923658124001,13.23711189441379,0.0
31,candidate_30_route_4_3,4-3,5.342216545715928,0.410695718601346,12.981090008899926,12.887562474333315,13.09521168378176,0.0
32,candidate_31_route_4_5,4-5,5.369651792570949,0.40223393216729164,13.34957437240197,12.96824187818429,13.472884847278044,0.0
