round,repeat,candidate_id,route_experts,execution_order,maya_full_s,flexeva_refresh_s,speedup,feedback_relative_error
1,1,candidate_00_route_0_2,0-2,maya_then_flexeva,5.4301837757229805,0.41781953535974026,12.996481294364619,0.0
2,1,candidate_01_route_0_3,0-3,flexeva_then_maya,5.749877588823438,0.40344116650521755,14.252084482680269,0.0
3,1,candidate_02_route_0_4,0-4,maya_then_flexeva,5.317708117887378,0.4178258627653122,12.727091814501371,0.0
4,1,candidate_03_route_0_5,0-5,flexeva_then_maya,5.370232852175832,0.4026573449373245,13.336979741451714,0.0
5,1,candidate_04_route_0_6,0-6,maya_then_flexeva,5.342100901529193,0.4206194318830967,12.700556599615041,0.0
6,1,candidate_05_route_0_7,0-7,flexeva_then_maya,5.376096000894904,0.40375715121626854,13.315172213544898,0.0
7,1,candidate_06_route_1_0,1-0,maya_then_flexeva,5.411808026954532,0.4121043384075165,13.13213068289267,0.0
8,1,candidate_07_route_1_2,1-2,flexeva_then_maya,5.88133673556149,0.4286517594009638,13.720547289437455,0.0
9,1,candidate_08_route_1_3,1-3,maya_then_flexeva,5.397718545049429,0.4152509793639183,12.99868949934244,0.0
10,1,candidate_09_route_1_4,1-4,flexeva_then_maya,5.37386135943234,0.40199757181108,13.367895072654326,0.0
11,1,candidate_10_route_1_5,1-5,maya_then_flexeva,5.752511935308576,0.4619383458048105,12.452986394290955,0.0
12,1,candidate_11_route_1_6,1-6,flexeva_then_maya,5.363667335361242,0.40952860191464424,13.097173946544427,0.0
13,1,candidate_12_route_1_7,1-7,maya_then_flexeva,5.384047843515873,0.4143938422203064,12.992586508207626,0.0
14,1,candidate_13_route_2_0,2-0,flexeva_then_maya,5.334377322345972,0.4009602479636669,13.304005445520742,0.0
15,1,candidate_14_route_2_1,2-1,maya_then_flexeva,5.391308791935444,0.4123642332851887,13.074142606851275,0.0
16,1,candidate_15_route_2_3,2-3,flexeva_then_maya,5.337810728698969,0.40923476591706276,13.043395071133208,0.0
17,1,candidate_16_route_2_4,2-4,maya_then_flexeva,5.323407219722867,0.41197594627738,12.92164571214714,0.0
18,1,candidate_17_route_2_5,2-5,flexeva_then_maya,5.364998264238238,0.40143755450844765,13.364465292260892,0.0
19,1,candidate_18_route_2_6,2-6,maya_then_flexeva,5.376224260777235,0.4167325124144554,12.900899499366124,0.0
20,1,candidate_19_route_2_7,2-7,flexeva_then_maya,5.3885513842105865,0.4109019562602043,13.113958943525393,0.0
21,1,candidate_20_route_3_0,3-0,maya_then_flexeva,5.345820551738143,0.4129784572869539,12.944550635539938,0.0
22,1,candidate_21_route_3_1,3-1,flexeva_then_maya,5.377677386626601,0.4111360050737858,13.080044851974177,0.0
23,1,candidate_22_route_3_2,3-2,maya_then_flexeva,5.397121895104647,0.41517793387174606,12.999539365625074,0.0
24,1,candidate_23_route_3_4,3-4,flexeva_then_maya,5.409772207960486,0.4080850463360548,13.256482335070865,0.0
25,1,candidate_24_route_3_5,3-5,maya_then_flexeva,5.398062756285071,0.41267986968159676,13.080509016468257,0.0
26,1,candidate_25_route_3_6,3-6,flexeva_then_maya,5.369751734659076,0.40972091630101204,13.105876515013085,0.0
27,1,candidate_26_route_3_7,3-7,maya_then_flexeva,5.397296326234937,0.41805183701217175,12.910591099920923,0.0
28,1,candidate_27_route_4_0,4-0,flexeva_then_maya,5.3871479239314795,0.4073054287582636,13.226310143606655,0.0
29,1,candidate_28_route_4_1,4-1,maya_then_flexeva,5.377156730741262,0.4159217458218336,12.92828947934992,0.0
30,1,candidate_29_route_4_2,4-2,flexeva_then_maya,5.354893401265144,0.40513885021209717,13.217427552212692,0.0
31,1,candidate_30_route_4_3,4-3,maya_then_flexeva,5.3312780894339085,0.410695718601346,12.981090008899926,0.0
32,1,candidate_31_route_4_5,4-5,flexeva_then_maya,5.387230547145009,0.3998572397977114,13.472884847278044,0.0
1,2,candidate_00_route_0_2,0-2,flexeva_then_maya,5.38081768155098,0.4061995353549719,13.246735195914887,0.0
2,2,candidate_01_route_0_3,0-3,maya_then_flexeva,5.442065794020891,0.4382877927273512,12.416649252666446,0.0
3,2,candidate_02_route_0_4,0-4,flexeva_then_maya,5.3767787385731936,0.4188248962163925,12.837772508621827,0.0
4,2,candidate_03_route_0_5,0-5,maya_then_flexeva,5.398939780890942,0.4208368808031082,12.829055691572995,0.0
5,2,candidate_04_route_0_6,0-6,flexeva_then_maya,5.390450892969966,0.4128546118736267,13.056535492014712,0.0
6,2,candidate_05_route_0_7,0-7,maya_then_flexeva,5.383245991542935,0.4195319525897503,12.8315518241517,0.0
7,2,candidate_06_route_1_0,1-0,flexeva_then_maya,5.413031095638871,0.4116736724972725,13.148839620475693,0.0
8,2,candidate_07_route_1_2,1-2,maya_then_flexeva,5.382732763886452,0.41326769813895226,13.02480883003013,0.0
9,2,candidate_08_route_1_3,1-3,flexeva_then_maya,5.384700445458293,0.40210398472845554,13.39131331686412,0.0
10,2,candidate_09_route_1_4,1-4,maya_then_flexeva,5.388381963595748,0.41168771125376225,13.088517865121256,0.0
11,2,candidate_10_route_1_5,1-5,flexeva_then_maya,5.393399924039841,0.4146903473883867,13.005848720632365,0.0
12,2,candidate_11_route_1_6,1-6,maya_then_flexeva,5.400151167064905,0.41360452212393284,13.056315582175378,0.0
13,2,candidate_12_route_1_7,1-7,flexeva_then_maya,5.381102843210101,0.40846833400428295,13.173855584980739,0.0
14,2,candidate_13_route_2_0,2-0,maya_then_flexeva,5.407533345744014,0.42162028327584267,12.825600570564026,0.0
15,2,candidate_14_route_2_1,2-1,flexeva_then_maya,5.353899547830224,0.4041377492249012,13.247709619055652,0.0
