mode,candidate_count,retained_rss_delta_mb,peak_rss_delta_mb,raw_event_count,trace_event_count,logical_event_count,wall_time_s
flexeva_selected,1,230.17578125,273.59765625,352256,65536,524288,1.2313437052071095
flexeva_selected,2,290.5859375,305.1875,393216,106496,851968,1.6247579101473093
flexeva_selected,4,348.828125,358.08984375,458752,172032,1376256,2.247394111007452
flexeva_selected,8,495.4296875,502.81640625,589824,303104,2424832,3.684802641160786
flexeva_selected,16,794.6875,800.109375,851968,565248,4521984,6.649387707002461
flexeva_selected,32,1376.546875,1381.46875,1376256,1089536,8716288,12.620892334729433
maya_full,1,483.546875,633.7109375,327680,327680,327680,3.534124815836549
maya_full,2,804.05078125,982.76171875,655360,655360,655360,7.29260902479291
maya_full,4,1477.51953125,1660.0078125,1310720,1310720,1310720,15.261757890693843
maya_full,8,2824.71484375,3001.38671875,2621440,2621440,2621440,31.93645309191197
maya_full,16,5469.79296875,5645.984375,5242880,5242880,5242880,65.58585185650736
maya_full,32,10809.9296875,10985.27734375,10485760,10485760,10485760,134.34706986695528
maya_trace_ras,1,182.55078125,272.8515625,327680,40960,327680,0.9790945015847683
maya_trace_ras,2,358.84765625,430.98828125,655360,81920,655360,2.0559848099946976
maya_trace_ras,4,669.74609375,741.6484375,1310720,163840,1310720,4.021639296784997
maya_trace_ras,8,1292.87890625,1365.671875,2621440,327680,2621440,8.282720160670578
maya_trace_ras,16,2540.35546875,2612.4609375,5242880,655360,5242880,16.988264948129654
maya_trace_ras,32,5035.44921875,5107.80859375,10485760,1310720,10485760,34.12334977090359
